name,hex,isGood
"Turkuaz",#40E0D0,x
"Turuncu",#FF7F00,x
"Turuncu (web)",#FFA500,x
"Turuncu Kırmızı",#FF4500,x
"Turuncumsu sarı",#E49B0F,x
"Uluslararası Klein mavisi",#002FA7,x
"Viridian",#40826D,x
"Vurgun pembe",#FC0FC0,x
"Yanık Toprak rengi",#8A3324,x
"Yanık turuncu",#CC5500,x
"Yeşil",#008000,x
"Yeşil Çimen",#7CFC00,x
"Yeşil-sarı",#ADFF2F,x
"Yeşim",#00A86B,x
"Yonca yeşili",#009E60,x
"Yosun yeşili",#ADDFAD,x
"Zeytin Yeşili",#6B8E23,x
"Zeytuni",#808000,x
"Zinnwaldite",#EBC2AF,x
"Zümrüt yeşili",#50C878,x
"Çam yeşili",#01796F,x
"Çay yeşili",#D0F0C0,x
"Çelik mavisi",#4682B4,x
"Çikolata rengi",#D2691E,x
"Çivit rengi",#4B0082,x
"Çiçek Beyazı",#FFFAF0,x
"İlkbahar yeşili",#00FF7F,x
"İri Odun",#DEB887,x
"İslam yeşili",#009000,x
"Şarap rengi",#960018,x
"Şeftali Pufu",#FFDAB9,x
"Şeftali rengi",#FFE5B4,x
"Şeftali-sarı",#FADFAD,x
"Şeftali-turuncu",#FFCC99,x
"Şeker Kavunu",#F0FFF0,x
